Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
09:40;Barcelona el prat;RYANAIR;FR 334;;"GDN"
10:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
10:05;Turku;WIZZ AIR;W6 1751;;"GDN"
10:20;Leeds;RYANAIR;FR 1504;;"GDN"
10:20;Brindisi;RYANAIR;FR 3521;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:40;Madera;WIZZ AIR;W6 1715;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
11:55;Helsinki;FINNAIR;AY 1176;;"GDN"
12:00;Newcastle;RYANAIR;FR 6103;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:10;Wrocław;RYANAIR;FR 4106;;"GDN"
12:25;Hamburg;RYANAIR;FR 6119;;"GDN"
12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
12:55;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:20;Londyn luton;WIZZ AIR;W6 1603;;"GDN"
14:30;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:35;Stavanger;WIZZ AIR;W6 1747;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
15:20;Kopenhaga;RYANAIR;FR 6844;;"GDN"
15:25;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
15:50;Dublin;RYANAIR;FR 1909;;"GDN"
16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
16:50;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
16:50;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
17:15;Skelleftea;RYANAIR;FR 8588;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:25;Londyn stansted;RYANAIR;FR 532;;"GDN"
18:25;Amsterdam;KLM;KL 1308;;"GDN"
18:30;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
18:50;Praga;RYANAIR;FR 1920;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:20;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
19:25;Helsinki;FINNAIR;AY 1174;;"GDN"
19:25;Zurych;;LX 1381;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
20:20;Sztokholm arlanda;WIZZ AIR;W6 1733;;"GDN"
20:20;Goteborg;WIZZ AIR;W6 1735;;"GDN"
20:30;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
21:25;Warszawa;LOT;LO3826;;"GDN"
21:50;Goteborg;RYANAIR;FR 6095;;"GDN"
22:35;Oslo gardermoen;Norwegian;DY 1057;;"GDN"
