Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
16:45;Hamburg;RYANAIR;FR 6119;;"GDN"
16:50;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
17:15;Londyn stansted;RYANAIR;FR 532;;"GDN"
18:00;Praga;RYANAIR;FR 1920;;"GDN"
18:15;Amsterdam;KLM;KL 1308;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:30;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
18:55;Alicante;WIZZ AIR;W6 1707;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
20:10;Pafos;RYANAIR;FR 3553;;"GDN"
20:10;Oslo torp;RYANAIR;FR 4942;;"GDN"
20:20;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
21:25;Warszawa;LOT;LO3826;;"GDN"
21:45;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
21:50;Oslo gardermoen;Norwegian;DY 1055;;"GDN"
22:10;Kopenhaga;RYANAIR;FR 6844;;"GDN"
22:40;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
23:00;Manchester;RYANAIR;FR 4095;;"GDN"
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Praga;RYANAIR;FR 1920;;"GDN"
05:45;Cork;RYANAIR;FR 8782;;"GDN"
05:45;Liverpool;WIZZ AIR;W6 1611;;"GDN"
05:50;Barcelona el prat;RYANAIR;FR 334;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
06:05;Bergen;WIZZ AIR;W6 1757;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
07:20;Goteborg;RYANAIR;FR 6095;;"GDN"
08:05;Wrocław;RYANAIR;FR 4106;;"GDN"
08:30;Skelleftea;RYANAIR;FR 8588;;"GDN"
08:40;Helsinki;FINNAIR;AY 1176;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
