Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
16:50;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
16:50;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
17:15;Skelleftea;RYANAIR;FR 8588;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:25;Londyn stansted;RYANAIR;FR 532;;"GDN"
18:25;Amsterdam;KLM;KL 1308;;"GDN"
18:25;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
18:50;Praga;RYANAIR;FR 1920;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:20;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
19:25;Helsinki;FINNAIR;AY 1174;;"GDN"
19:25;Zurych;;LX 1381;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
20:20;Sztokholm arlanda;WIZZ AIR;W6 1733;;"GDN"
20:20;Goteborg;WIZZ AIR;W6 1735;;"GDN"
20:30;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
21:25;Warszawa;LOT;LO3826;;"GDN"
21:50;Goteborg;RYANAIR;FR 6095;;"GDN"
22:35;Oslo gardermoen;Norwegian;DY 1057;;"GDN"
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Londyn stansted;RYANAIR;FR 544;;"GDN"
05:45;Liverpool;WIZZ AIR;W6 1611;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
06:05;Bergen;WIZZ AIR;W6 1757;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:15;Wenecja treviso;RYANAIR;FR 1969;;"GDN"
06:20;Mediolan bergamo;RYANAIR;FR 9094;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
07:20;Paryż beauvais;RYANAIR;FR 8987;;"GDN"
07:30;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
07:35;Manchester;RYANAIR;FR 4095;;"GDN"
08:35;Kraków;RYANAIR;FR 236;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
