Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Praga;RYANAIR;FR 1920;;"GDN"
05:45;Cork;RYANAIR;FR 8782;;"GDN"
05:45;Liverpool;WIZZ AIR;W6 1611;;"GDN"
05:50;Barcelona el prat;RYANAIR;FR 334;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
06:05;Bergen;WIZZ AIR;W6 1757;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
07:20;Goteborg;RYANAIR;FR 6095;;"GDN"
08:05;Wrocław;RYANAIR;FR 4106;;"GDN"
08:30;Skelleftea;RYANAIR;FR 8588;;"GDN"
08:40;Helsinki;FINNAIR;AY 1176;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
09:00;Oslo torp;RYANAIR;FR 3277;;"GDN"
09:15;Zadar;RYANAIR;FR 8677;;"GDN"
09:25;Zurych;;LX 1381;;"GDN"
09:35;Leeds;RYANAIR;FR 1504;;"GDN"
10:05;Paryż beauvais;WIZZ AIR;W6 1631;;"GDN"
10:10;Kopenhaga;SAS;SK 756;;"GDN"
10:55;Hamburg;WIZZ AIR;W6 1675;;"GDN"
11:15;Sztokholm arlanda;;ENT588P;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
12:50;Bergen;Norwegian;DY 1031;;"GDN"
12:50;Neapol;RYANAIR;FR 1896;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
13:15;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
13:15;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
13:20;Kopenhaga;RYANAIR;FR 6853;;"GDN"
13:35;Brindisi;RYANAIR;FR 3521;;"GDN"
13:35;Hamburg;RYANAIR;FR 6119;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:25;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
14:25;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:35;Kraków;RYANAIR;FR 236;;"GDN"
14:35;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
16:40;Malaga;WIZZ AIR;W6 1613;;"GDN"
16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
17:10;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
17:50;Londyn stansted;RYANAIR;FR 532;;"GDN"
18:00;Malta;RYANAIR;FR 5208;;"GDN"
18:00;Aberdeen;WIZZ AIR;W6 1617;;"GDN"
18:10;Larnaka;WIZZ AIR;W6 1791;;"GDN"
18:15;Amsterdam;KLM;KL 1308;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:40;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
19:05;Rzym fiumicino;WIZZ AIR;W6 1699;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
19:50;Oslo torp;RYANAIR;FR 4942;;"GDN"
