Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-04;14:35;Kraków;RYANAIR;FR 236;;"GDN"
2025-04-04;14:50;Warszawa;LOT;LO3838;;"GDN"
2025-04-04;15:30;Hamburg;WIZZ AIR;W6 1675;;"GDN"
2025-04-04;15:40;Kopenhaga;SAS;SK 760;;"GDN"
2025-04-04;16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
2025-04-04;16:40;Malaga;WIZZ AIR;W6 1613;;"GDN"
2025-04-04;16:50;Billund;airBaltic;BT 7702;;"GDN"
2025-04-04;16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
2025-04-04;17:10;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
2025-04-04;17:50;Londyn stansted;RYANAIR;FR 532;;"GDN"
2025-04-04;18:00;Malta;RYANAIR;FR 5208;;"GDN"
2025-04-04;18:00;Aberdeen;WIZZ AIR;W6 1617;;"GDN"
2025-04-04;18:10;Larnaka;WIZZ AIR;W6 1791;;"GDN"
2025-04-04;18:15;Amsterdam;KLM;KL 1308;;"GDN"
2025-04-04;18:20;Warszawa;LOT;LO3816;;"GDN"
2025-04-04;18:40;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
2025-04-04;19:05;Rzym fiumicino;WIZZ AIR;W6 1699;;"GDN"
2025-04-04;19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
2025-04-04;19:25;Kopenhaga;SAS;SK 758;;"GDN"
2025-04-04;19:50;Oslo torp;RYANAIR;FR 4942;;"GDN"
2025-04-04;20:20;Goteborg;WIZZ AIR;W6 1735;;"GDN"
2025-04-04;20:25;Londyn stansted;RYANAIR;FR 592;;"GDN"
2025-04-04;20:30;Helsinki;FINNAIR;AY 1174;;"GDN"
2025-04-04;21:40;Kopenhaga;RYANAIR;FR 6844;;"GDN"
2025-04-04;22:25;Edynburg;RYANAIR;FR 6123;;"GDN"
2025-04-04;23:55;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
2025-04-05;05:40;Warszawa;LOT;LO3828;;"GDN"
2025-04-05;05:45;Londyn stansted;RYANAIR;FR 544;;"GDN"
2025-04-05;05:45;Lublin;RYANAIR;FR 6111;;"GDN"
2025-04-05;05:45;Leeds;WIZZ AIR;W6 1615;;"GDN"
2025-04-05;05:55;Goteborg;RYANAIR;FR 6095;;"GDN"
2025-04-05;05:55;Monachium;LUFTHANSA;LH 1647;;"GDN"
2025-04-05;06:00;Kopenhaga;SAS;SK 1758;;"GDN"
2025-04-05;06:00;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
2025-04-05;06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
2025-04-05;06:20;Amsterdam;KLM;KL 1302;;"GDN"
2025-04-05;06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
2025-04-05;06:25;Malta;RYANAIR;FR 5208;;"GDN"
2025-04-05;06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
2025-04-05;06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
2025-04-05;07:10;Oslo torp;RYANAIR;FR 4942;;"GDN"
2025-04-05;07:10;Trondheim;WIZZ AIR;W6 1761;;"GDN"
2025-04-05;07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
2025-04-05;07:30;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
2025-04-05;07:30;Kopenhaga;RYANAIR;FR 6844;;"GDN"
2025-04-05;08:45;Dusseldorf;EUROWINGS;EW 9737;;"GDN"
2025-04-05;08:45;Warszawa;LOT;LO3832;;"GDN"
2025-04-05;09:10;Aarhus;RYANAIR;FR 4970;;"GDN"
2025-04-05;10:20;Alesund vigra;WIZZ AIR;W6 1765;;"GDN"
2025-04-05;10:55;Piza;RYANAIR;FR 4442;;"GDN"
2025-04-05;11:05;Växjö-smaland;RYANAIR;FR 7271;;"GDN"
2025-04-05;11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
2025-04-05;11:25;Antalia;;ENT7061;;"GDN"
2025-04-05;11:50;Amsterdam;KLM;KL 1304;;"GDN"
2025-04-05;12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
2025-04-05;12:00;Warszawa;LOT;LO3836;;"GDN"
2025-04-05;12:10;Haugesund;WIZZ AIR;W6 1749;;"GDN"
2025-04-05;13:00;Teneryfa południe;WIZZ AIR;W6 1709;;"GDN"
2025-04-05;13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
2025-04-05;14:15;Marsa alam;;ENT7843;;"GDN"
2025-04-05;14:25;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
2025-04-05;14:25;Kopenhaga;SAS;SK 760;;"GDN"
2025-04-05;14:40;Podgorica;RYANAIR;FR 1936;;"GDN"
2025-04-05;14:40;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
2025-04-05;14:50;Warszawa;LOT;LO3838;;"GDN"
2025-04-05;15:05;Praga;RYANAIR;FR 1920;;"GDN"
2025-04-05;15:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
2025-04-05;15:10;Antalia;;ENT7935;;"GDN"
2025-04-05;16:25;Edynburg;RYANAIR;FR 6123;;"GDN"
2025-04-05;16:40;Malaga;RYANAIR;FR 9918;;"GDN"
2025-04-05;16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
2025-04-05;17:05;Alicante;RYANAIR;FR 1425;;"GDN"
2025-04-05;17:05;Tromso;WIZZ AIR;W6 1771;;"GDN"
2025-04-05;18:20;Warszawa;LOT;LO3816;;"GDN"
2025-04-05;18:25;Amsterdam;KLM;KL 1308;;"GDN"
2025-04-05;18:30;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
2025-04-05;18:30;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
2025-04-05;18:50;Bristol;RYANAIR;FR 8255;;"GDN"
2025-04-05;18:55;Alicante;WIZZ AIR;W6 1707;;"GDN"
2025-04-05;19:05;Dublin;RYANAIR;FR 7441;;"GDN"
2025-04-05;19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
2025-04-05;19:20;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
2025-04-05;19:55;Leeds;RYANAIR;FR 1504;;"GDN"
2025-04-05;20:25;Oslo torp;RYANAIR;FR 3277;;"GDN"
2025-04-05;20:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
2025-04-05;21:00;Manchester;RYANAIR;FR 4095;;"GDN"
2025-04-05;21:25;Kraków;RYANAIR;FR 236;;"GDN"
2025-04-05;21:25;Warszawa;LOT;LO3826;;"GDN"
2025-04-05;22:00;Londyn stansted;RYANAIR;FR 592;;"GDN"
2025-04-05;23:00;Ryga;RYANAIR;FR 6370;;"GDN"
2025-04-05;23:10;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
2025-04-05;23:35;Bratysława;RYANAIR;FR 6827;;"GDN"
2025-04-06;05:40;Warszawa;LOT;LO3828;;"GDN"
2025-04-06;05:45;Oslo torp;RYANAIR;FR 3277;;"GDN"
2025-04-06;05:45;Cork;RYANAIR;FR 8782;;"GDN"
2025-04-06;05:50;Neapol;RYANAIR;FR 1896;;"GDN"
2025-04-06;06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
2025-04-06;06:00;Kopenhaga;SAS;SK 1758;;"GDN"
2025-04-06;06:05;Hamburg;WIZZ AIR;W6 1675;;"GDN"
2025-04-06;06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
2025-04-06;06:15;Haugesund;WIZZ AIR;W6 1749;;"GDN"
2025-04-06;06:20;Londyn stansted;RYANAIR;FR 544;;"GDN"
2025-04-06;06:20;Amsterdam;KLM;KL 1302;;"GDN"
2025-04-06;06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
2025-04-06;06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
2025-04-06;06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
2025-04-06;06:50;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
2025-04-06;07:10;Trondheim;WIZZ AIR;W6 1761;;"GDN"
2025-04-06;07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
2025-04-06;08:45;Warszawa;LOT;LO3832;;"GDN"
2025-04-06;09:40;Barcelona el prat;RYANAIR;FR 334;;"GDN"
2025-04-06;09:40;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
2025-04-06;10:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
2025-04-06;10:05;Turku;WIZZ AIR;W6 1751;;"GDN"
2025-04-06;10:10;Kopenhaga;SAS;SK 756;;"GDN"
2025-04-06;10:20;Leeds;RYANAIR;FR 1504;;"GDN"
2025-04-06;10:20;Brindisi;RYANAIR;FR 3521;;"GDN"
2025-04-06;11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
2025-04-06;11:40;Madera;WIZZ AIR;W6 1715;;"GDN"
2025-04-06;11:50;Amsterdam;KLM;KL 1304;;"GDN"
2025-04-06;11:55;Helsinki;FINNAIR;AY 1176;;"GDN"
2025-04-06;12:00;Newcastle;RYANAIR;FR 6103;;"GDN"
2025-04-06;12:00;Warszawa;LOT;LO3836;;"GDN"
2025-04-06;12:10;Wrocław;RYANAIR;FR 4106;;"GDN"
2025-04-06;12:25;Hamburg;RYANAIR;FR 6119;;"GDN"
2025-04-06;12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
2025-04-06;12:55;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
2025-04-06;13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
2025-04-06;13:20;Sewilla-san pablo;;ENT680F;;"GDN"
2025-04-06;13:50;Akureyri;;FI 1065;;"GDN"
2025-04-06;14:20;Amsterdam;KLM;KL 1306;;"GDN"
2025-04-06;14:20;Londyn luton;WIZZ AIR;W6 1603;;"GDN"
2025-04-06;14:30;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
2025-04-06;14:35;Stavanger;WIZZ AIR;W6 1747;;"GDN"
2025-04-06;14:50;Warszawa;LOT;LO3838;;"GDN"
2025-04-06;15:20;Kopenhaga;RYANAIR;FR 6844;;"GDN"
2025-04-06;15:25;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
2025-04-06;15:40;Kopenhaga;SAS;SK 760;;"GDN"
