Czas;Kierunek;Rejs;;Lotnisko wylotowe
23:52;LONDYN STANSTED;FR2467;;"SSZ"
08:52;WARSZAWA;LO3932;;"SSZ"
13:41;WARSZAWA;LO3934;;"SSZ"
15:23;LONDYN STANSTED;FR2467;;"SSZ"
16:34;WARSZAWA;LO3938;;"SSZ"
