Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
16:50;Billund;airBaltic;BT 7702;;"GDN"
16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
17:10;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
17:50;Londyn stansted;RYANAIR;FR 532;;"GDN"
18:00;Malta;RYANAIR;FR 5208;;"GDN"
18:00;Aberdeen;WIZZ AIR;W6 1617;;"GDN"
18:10;Larnaka;WIZZ AIR;W6 1791;;"GDN"
18:15;Amsterdam;KLM;KL 1308;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:40;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
19:05;Rzym fiumicino;WIZZ AIR;W6 1699;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
19:50;Oslo torp;RYANAIR;FR 4942;;"GDN"
20:20;Goteborg;WIZZ AIR;W6 1735;;"GDN"
20:25;Londyn stansted;RYANAIR;FR 592;;"GDN"
20:30;Helsinki;FINNAIR;AY 1174;;"GDN"
21:40;Kopenhaga;RYANAIR;FR 6844;;"GDN"
22:25;Edynburg;RYANAIR;FR 6123;;"GDN"
22:30;Marsa alam;;ENT4285;;"GDN"
23:10;Dublin;RYANAIR;FR 1909;;"GDN"
23:55;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Londyn stansted;RYANAIR;FR 544;;"GDN"
05:45;Lublin;RYANAIR;FR 6111;;"GDN"
05:45;Leeds;WIZZ AIR;W6 1615;;"GDN"
05:55;Goteborg;RYANAIR;FR 6095;;"GDN"
05:55;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Malta;RYANAIR;FR 5208;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
07:10;Oslo torp;RYANAIR;FR 4942;;"GDN"
07:10;Trondheim;WIZZ AIR;W6 1761;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
07:30;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
07:30;Kopenhaga;RYANAIR;FR 6844;;"GDN"
08:45;Dusseldorf;EUROWINGS;EW 9737;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
