Czas;Kierunek;Rejs;;Lotnisko wylotowe
10:00;DUBLIN (DUB);FR 1902;;"KRK"
10:00;BARCELONA (BCN);FR 3036;;"KRK"
10:15;PARYŻ (CDG);EJU 4668;;"KRK"
10:30;BURGAS (BOJ);FR 3716;;"KRK"
10:45;BARCELONA GIRONA (GRO);FR 8672;;"KRK"
11:15;FRANKFURT (FRA);LH 1363;;"KRK"
11:20;LONDYN HEATHROW (LHR);BA 873;;"KRK"
11:30;CAGLIARI (CAG);FR 4426;;"KRK"
11:40;MEMMINGEN (FMM);FR 2174;;"KRK"
11:40;LONDYN STANSTED (STN);FR 2435;;"KRK"
11:50;BIRMINGHAM (BHX);FR 1466;;"KRK"
11:50;AMSTERDAM (AMS);KL 1324;;"KRK"
12:00;PARYŻ (CDG);AF 1879;;"KRK"
12:05;WIEDEŃ (VIE);FR 946;;"KRK"
12:05;MANCHESTER (MAN);RK 2149;;"KRK"
12:15;WARSZAWA (WAW);LO 3908;;"KRK"
12:25;MALAGA (AGP);FR 2589;;"KRK"
12:25;ALICANTE (ALC);FR 6355;;"KRK"
12:40;SZTOKHOLM ARLANDA (ARN);FR 4627;;"KRK"
12:40;OLBIA (OLB);FR 6734;;"KRK"
12:50;DUBAJ (DXB);FZ 1788;;"KRK"
12:50;EINDHOVEN (EIN);W6 2075;;"KRK"
12:55;MARRAKESZ (RAK);FR 7102;;"KRK"
13:05;OSLO GARDERMOEN (OSL);W6 2033;;"KRK"
13:15;BAZYLEA (BSL);EZS 1262;;"KRK"
13:25;MONACHIUM (MUC);LH 1623;;"KRK"
13:30;WARSZAWA (WAW);LO 3920;;"KRK"
13:35;PARYŻ BEAUVAIS (BVA);FR 3435;;"KRK"
13:50;BARI (BRI);FR 2966;;"KRK"
13:50;NOWY JORK - NEWARK (EWR);LO 019;;"KRK"
14:00;AMSTERDAM (AMS);KL 1326;;"KRK"
14:05;FRANKFURT (FRA);LH 1367;;"KRK"
14:10;BOLONIA (BLQ);FR 3799;;"KRK"
14:10;BOLONIA (BLQ);W6 2059;;"KRK"
14:35;WIEDEŃ (VIE);OS 598;;"KRK"
14:55;WARSZAWA (WAW);LO 3906;;"KRK"
