Czas;Kierunek;Rejs;;Lotnisko wylotowe
05:30;BARCELONA (BCN);W6 2047;;"KRK"
05:30;NICEA (NCE);W6 2071;;"KRK"
05:40;WARSZAWA (WAW);LO 3910;;"KRK"
05:45;OSLO TORP (TRF);FR 6216;;"KRK"
05:50;LONDYN STANSTED (STN);FR 2435;;"KRK"
05:50;BARCELONA (BCN);FR 3036;;"KRK"
05:55;BARI (BRI);FR 2722;;"KRK"
06:00;KOPENHAGA (CPH);FR 2763;;"KRK"
06:00;MONACHIUM (MUC);LH 1627;;"KRK"
06:00;LONDYN LUTON (LTN);W6 2001;;"KRK"
06:00;STAVANGER (SVG);W6 2043;;"KRK"
06:10;FRANKFURT (FRA);LH 1371;;"KRK"
06:15;BRUKSELA CHARLEROI (CRL);FR 4935;;"KRK"
06:30;PARYŻ BEAUVAIS (BVA);FR 3435;;"KRK"
06:35;AMSTERDAM (AMS);KL 1322;;"KRK"
06:45;WIEDEŃ (VIE);OS 600;;"KRK"
06:50;MEDIOLAN BERGAMO (BGY);FR 3536;;"KRK"
07:00;CHANIA (CHQ);FR 3051;;"KRK"
07:00;BELFAST (BFS);FR 9557;;"KRK"
08:10;MEDIOLAN BERGAMO (BGY);FR 3505;;"KRK"
08:10;TRIEST (TRS);FR 6782;;"KRK"
08:15;SZTOKHOLM ARLANDA (ARN);FR 4627;;"KRK"
08:30;PALERMO (PMO);FR 6232;;"KRK"
08:50;WARSZAWA (WAW);LO 3904;;"KRK"
08:55;HELSINKI (HEL);AY 1162;;"KRK"
09:10;SZTOKHOLM ARLANDA (ARN);D8 3806;;"KRK"
09:10;BELGRAD (BEG);JU 157;;"KRK"
09:15;ALICANTE (ALC);FR 6355;;"KRK"
09:40;STAMBUŁ (IST);TK 1272;;"KRK"
09:45;AMSTERDAM (AMS);EJU 7962;;"KRK"
09:50;LEEDS BRADFORD (LBA);FR 2333;;"KRK"
09:50;ZURYCH (ZRH);LX 1371;;"KRK"
09:50;TEL AVIV (TLV);LY 5120;;"KRK"
10:00;ATENY (ATH);A3 869;;"KRK"
10:00;PARYŻ (CDG);EJU 4668;;"KRK"
10:10;KOPENHAGA (CPH);SK 1736;;"KRK"
10:15;EINDHOVEN (EIN);FR 042;;"KRK"
10:30;WENECJA TREVISO (TSF);FR 3037;;"KRK"
10:35;BRISTOL (BRS);EZY 2938;;"KRK"
10:45;BOLONIA (BLQ);FR 3799;;"KRK"
10:50;EDYNBURG (EDI);FR 6625;;"KRK"
10:55;LONDYN GATWICK (LGW);EZY 8822;;"KRK"
11:00;TIRANA (TIA);FR 8402;;"KRK"
11:05;BARI (BRI);FR 2966;;"KRK"
11:15;FRANKFURT (FRA);LH 1363;;"KRK"
11:30;PESCARA (PSR);FR 3045;;"KRK"
11:35;ABU ZABI (AUH);W6 2093;;"KRK"
11:40;GRAN CANARIA (LPA);FR 4505;;"KRK"
11:40;PALMA DE MALLORCA (PMI);FR 4512;;"KRK"
11:45;CAGLIARI (CAG);FR 4426;;"KRK"
11:50;AMSTERDAM (AMS);KL 1324;;"KRK"
12:15;WARSZAWA (WAW);LO 3908;;"KRK"
12:20;BRUKSELA (BRU);SN 2548;;"KRK"
12:25;OSLO GARDERMOEN (OSL);DY 1041;;"KRK"
12:25;BIRMINGHAM (BHX);FR 1466;;"KRK"
12:25;BIRMINGHAM (BHX);LS 1252;;"KRK"
12:30;HELSINKI (HEL);AY 1166;;"KRK"
12:40;KORFU (CFU);FR 6964;;"KRK"
12:45;DUBLIN (DUB);FR 2024;;"KRK"
12:45;MEDIOLAN MALPENSA (MXP);W6 2067;;"KRK"
12:50;DUBAJ (DXB);FZ 1788;;"KRK"
13:00;BERGEN (BGO);DY 1029;;"KRK"
13:00;MALAGA (AGP);W6 2073;;"KRK"
13:05;BRISTOL (BRS);FR 5519;;"KRK"
13:05;OSLO GARDERMOEN (OSL);W6 2033;;"KRK"
13:25;PIZA (PSA);FR 7932;;"KRK"
13:25;MONACHIUM (MUC);LH 1623;;"KRK"
13:30;ZADAR (ZAD);FR 7273;;"KRK"
13:40;LOURDES (LDE);FR 2370;;"KRK"
14:00;KOPENHAGA (CPH);D8 3563;;"KRK"
14:00;RZYM CIAMPINO (CIA);FR 083;;"KRK"
14:00;AMSTERDAM (AMS);KL 1326;;"KRK"
14:05;FRANKFURT (FRA);LH 1367;;"KRK"
14:25;IZMIR (ADB);PC 1546;;"KRK"
14:35;WIEDEŃ (VIE);OS 598;;"KRK"
14:50;ZURYCH (ZRH);LX 1373;;"KRK"
14:55;DUSSELDORF (DUS);EW 9733;;"KRK"
14:55;WARSZAWA (WAW);LO 3906;;"KRK"
15:00;MARSA ALAM (RMF);ENT 4753;;"KRK"
15:10;BOURNEMOUTH (BOH);FR 5524;;"KRK"
15:20;PARYŻ BEAUVAIS (BVA);FR 3699;;"KRK"
15:30;MADRYT (MAD);FR 5357;;"KRK"
15:40;ANKONA (AOI);FR 4490;;"KRK"
15:55;STUTTGART (STR);EW 2735;;"KRK"
16:00;WIEDEŃ (VIE);FR 946;;"KRK"
16:05;SHANNON (SNN);FR 3326;;"KRK"
16:15;GDAŃSK (GDN);FR 237;;"KRK"
16:35;CHICAGO (ORD);LO 009;;"KRK"
16:40;MONACHIUM (MUC);EN 8343;;"KRK"
17:00;PARYŻ ORLY (ORY);LO 337;;"KRK"
17:00;OLSZTYN-MAZURY (SZY);LO 3507;;"KRK"
17:10;BELFAST (BFS);EZY 3054;;"KRK"
17:40;CATANIA (CTA);FR 2726;;"KRK"
17:50;WALENCJA (VLC);FR 2229;;"KRK"
17:55;DUBLIN (DUB);FR 1902;;"KRK"
17:55;AMSTERDAM (AMS);KL 1328;;"KRK"
18:05;LONDYN GATWICK (LGW);W6 2009;;"KRK"
18:20;FARO (FAO);FR 2839;;"KRK"
18:25;WARSZAWA (WAW);LO 3924;;"KRK"
18:40;RZYM FIUMICINO (FCO);W6 2061;;"KRK"
18:55;HELSINKI (HEL);AY 1164;;"KRK"
19:00;AMSTERDAM (AMS);KL 1330;;"KRK"
19:05;PODGORICA (TGD);FR 7933;;"KRK"
19:10;SALONIKI (SKG);FR 2777;;"KRK"
19:20;FRANKFURT (FRA);LH 1369;;"KRK"
19:45;OSLO TORP (TRF);FR 6310;;"KRK"
19:55;BARCELONA GIRONA (GRO);FR 8672;;"KRK"
20:00;SEWILLA (SVQ);FR 1313;;"KRK"
20:00;PRAGA (PRG);FR 4070;;"KRK"
20:00;NEWCASTLE (NCL);LS 1902;;"KRK"
20:20;AGADIR (AGA);FR 9278;;"KRK"
20:35;PARYŻ (CDG);EJU 4670;;"KRK"
20:40;LEEDS BRADFORD (LBA);LS 296;;"KRK"
20:50;MANCHESTER (MAN);LS 950;;"KRK"
21:05;GÖTEBORG LANDVETTER (GOT);FR 4010;;"KRK"
21:10;GLASGOW (GLA);LS 114;;"KRK"
21:15;LONDYN HEATHROW (LHR);BA 873;;"KRK"
21:20;LONDYN GATWICK (LGW);EZY 8824;;"KRK"
21:20;MARSYLIA (MRS);FR 5412;;"KRK"
