Data;Czas;Kierunek;Rejs;;Lotnisko wylotowe
2025-04-15;08:49;WARSZAWA;LO3932;;"SSZ"
2025-04-15;13:45;WARSZAWA;LO3934;;"SSZ"
2025-04-15;16:10;LONDYN STANSTED;FR9083;;"SSZ"
2025-04-15;16:40;WARSZAWA;LO3938;;"SSZ"
2025-04-15;18:10;KRAKOW;FR6231;;"SSZ"
