Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
09:40;Edynburg;RYANAIR;FR 6123;;"GDN"
10:00;Paryż beauvais;WIZZ AIR;W6 1631;;"GDN"
10:15;Kopenhaga;SAS;SK 756;;"GDN"
10:55;Zadar;RYANAIR;FR 8677;;"GDN"
10:55;Hamburg;WIZZ AIR;W6 1675;;"GDN"
11:00;Oslo torp;RYANAIR;FR 3277;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:30;Kopenhaga;RYANAIR;FR 6844;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
11:55;Wrocław;RYANAIR;FR 4106;;"GDN"
12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
12:30;Akureyri;;RC7467;;"GDN"
12:45;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
12:50;Bergen;Norwegian;DY 1031;;"GDN"
13:05;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
13:20;Reykjavik keflavik;;FI 1067;;"GDN"
13:30;Londyn stansted;RYANAIR;FR 532;;"GDN"
14:00;Akureyri;;FI 1065;;"GDN"
14:15;Leeds;RYANAIR;FR 1504;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:25;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:35;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
15:00;Pafos;RYANAIR;FR 3553;;"GDN"
15:00;Belfast;;RK 9608;;"GDN"
15:15;Aarhus;RYANAIR;FR 4970;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
15:40;Sharm el sheikh;;U57227;;"GDN"
16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
16:10;Hamburg;RYANAIR;FR 6119;;"GDN"
16:40;Neapol;RYANAIR;FR 1896;;"GDN"
16:40;Malaga;WIZZ AIR;W6 1613;;"GDN"
16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
18:00;Aberdeen;WIZZ AIR;W6 1617;;"GDN"
18:05;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
18:10;Larnaka;WIZZ AIR;W6 1791;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:25;Amsterdam;KLM;KL 1308;;"GDN"
18:35;Brindisi;RYANAIR;FR 3521;;"GDN"
18:45;Londyn stansted;RYANAIR;FR 592;;"GDN"
19:05;Rzym fiumicino;WIZZ AIR;W6 1699;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
19:35;Goteborg;RYANAIR;FR 6095;;"GDN"
19:45;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
20:20;Goteborg;WIZZ AIR;W6 1735;;"GDN"
20:30;Helsinki;FINNAIR;AY 1174;;"GDN"
21:35;Oslo gardermoen;Norwegian;DY 1055;;"GDN"
22:50;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
