Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
09:40;Leeds;RYANAIR;FR 1504;;"GDN"
09:40;Wrocław;RYANAIR;FR 4106;;"GDN"
10:05;Haugesund;WIZZ AIR;W6 1749;;"GDN"
10:05;Turku;WIZZ AIR;W6 1751;;"GDN"
10:10;Kopenhaga;SAS;SK 756;;"GDN"
10:15;Londyn stansted;;RK 544;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:30;Kraków;RYANAIR;FR 236;;"GDN"
11:50;Newcastle;RYANAIR;FR 6103;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:10;Alesund vigra;WIZZ AIR;W6 1765;;"GDN"
13:05;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
13:05;Dublin;RYANAIR;FR 1909;;"GDN"
13:10;Wenecja treviso;RYANAIR;FR 1969;;"GDN"
13:10;Aarhus;RYANAIR;FR 4970;;"GDN"
13:15;Monachium;LUFTHANSA;LH 1643;;"GDN"
13:20;Hurghada;;ENT7705;;"GDN"
13:25;Malaga;RYANAIR;FR 9918;;"GDN"
13:35;Dusseldorf;EUROWINGS;EW 9737;;"GDN"
13:35;Madera;WIZZ AIR;W6 1715;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:30;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:35;Stavanger;WIZZ AIR;W6 1747;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
14:50;Hurghada;;QU 5821;;"GDN"
15:10;Alicante;RYANAIR;FR 1425;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
16:45;Hamburg;RYANAIR;FR 6119;;"GDN"
16:50;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
17:15;Londyn stansted;RYANAIR;FR 532;;"GDN"
18:00;Praga;RYANAIR;FR 1920;;"GDN"
18:15;Amsterdam;KLM;KL 1308;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:30;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
18:55;Alicante;WIZZ AIR;W6 1707;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
20:10;Pafos;RYANAIR;FR 3553;;"GDN"
20:10;Oslo torp;RYANAIR;FR 4942;;"GDN"
20:20;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
21:25;Warszawa;LOT;LO3826;;"GDN"
21:45;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
21:50;Oslo gardermoen;Norwegian;DY 1055;;"GDN"
22:10;Kopenhaga;RYANAIR;FR 6844;;"GDN"
22:40;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
23:00;Manchester;RYANAIR;FR 4095;;"GDN"
