Czas;Kierunek;Rejs;;Lotnisko wylotowe
17:00;PARYŻ ORLY (ORY);LO 337;;"KRK"
17:00;OLSZTYN-MAZURY (SZY);LO 3507;;"KRK"
17:10;BELFAST (BFS);EZY 3054;;"KRK"
17:40;CATANIA (CTA);FR 2726;;"KRK"
17:50;WALENCJA (VLC);FR 2229;;"KRK"
17:55;DUBLIN (DUB);FR 1902;;"KRK"
17:55;AMSTERDAM (AMS);KL 1328;;"KRK"
18:05;LONDYN GATWICK (LGW);W6 2009;;"KRK"
18:20;FARO (FAO);FR 2839;;"KRK"
18:25;WARSZAWA (WAW);LO 3924;;"KRK"
18:40;RZYM FIUMICINO (FCO);W6 2061;;"KRK"
18:55;HELSINKI (HEL);AY 1164;;"KRK"
19:00;AMSTERDAM (AMS);KL 1330;;"KRK"
19:05;PODGORICA (TGD);FR 7933;;"KRK"
19:10;SALONIKI (SKG);FR 2777;;"KRK"
19:20;FRANKFURT (FRA);LH 1369;;"KRK"
19:45;OSLO TORP (TRF);FR 6310;;"KRK"
19:55;BARCELONA GIRONA (GRO);FR 8672;;"KRK"
20:00;SEWILLA (SVQ);FR 1313;;"KRK"
20:00;PRAGA (PRG);FR 4070;;"KRK"
20:00;NEWCASTLE (NCL);LS 1902;;"KRK"
20:20;AGADIR (AGA);FR 9278;;"KRK"
20:35;PARYŻ (CDG);EJU 4670;;"KRK"
20:40;LEEDS BRADFORD (LBA);LS 296;;"KRK"
20:50;MANCHESTER (MAN);LS 950;;"KRK"
21:10;MANCHESTER (MAN);FR 2142;;"KRK"
21:10;GÖTEBORG LANDVETTER (GOT);FR 4010;;"KRK"
21:10;GLASGOW (GLA);LS 114;;"KRK"
21:15;LONDYN HEATHROW (LHR);BA 873;;"KRK"
21:20;LONDYN GATWICK (LGW);EZY 8824;;"KRK"
21:20;MARSYLIA (MRS);FR 5412;;"KRK"
21:25;KOPENHAGA (CPH);FR 2724;;"KRK"
21:30;OSLO GARDERMOEN (OSL);DY 1043;;"KRK"
