Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
17:00;Killeen-fort hood ;;CMB 530;;"GDN"
17:05;Tromso;WIZZ AIR;W6 1771;;"GDN"
17:15;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
18:15;Amsterdam;KLM;KL 1308;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:25;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
18:25;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
18:50;Londyn stansted;RYANAIR;FR 532;;"GDN"
18:55;Alicante;WIZZ AIR;W6 1707;;"GDN"
19:15;Malaga;RYANAIR;FR 9918;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:20;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
19:55;Oslo torp;RYANAIR;FR 3277;;"GDN"
20:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
21:25;Warszawa;LOT;LO3826;;"GDN"
22:15;Kraków;RYANAIR;FR 236;;"GDN"
22:15;Goteborg;RYANAIR;FR 6095;;"GDN"
23:25;Manchester;;RK 4095;;"GDN"
23:35;Sztokholm arlanda;RYANAIR;FR 6099;;"GDN"
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Barcelona el prat;RYANAIR;FR 334;;"GDN"
05:45;Londyn stansted;RYANAIR;FR 544;;"GDN"
05:45;Cork;RYANAIR;FR 8782;;"GDN"
05:45;Liverpool;WIZZ AIR;W6 1611;;"GDN"
05:50;Alicante;RYANAIR;FR 1425;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
07:10;Aberdeen;WIZZ AIR;W6 1617;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
07:20;Goteborg;RYANAIR;FR 6095;;"GDN"
07:35;Manchester;RYANAIR;FR 4095;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
