Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
04:20;Marsa Alam;ENTER AIR;ENT 4091;;"KTW"
05:40;Warszawa;LOT;LO 3880;;"KTW"
05:45;Ateny;RYANAIR;FR 2615;;"KTW"
05:50;Forli;RYANAIR;FR 1036;;"KTW"
06:00;Malaga;WIZZ AIR;W6 1073;;"KTW"
06:05;Londyn - Luton;WIZZ AIR;W6 1001;;"KTW"
