Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
21:50;Oslo gardermoen;Norwegian;DY 1055;;"GDN"
23:00;Manchester;RYANAIR;FR 4095;;"GDN"
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Praga;RYANAIR;FR 1920;;"GDN"
05:45;Cork;RYANAIR;FR 8782;;"GDN"
05:45;Liverpool;WIZZ AIR;W6 1611;;"GDN"
05:50;Barcelona el prat;RYANAIR;FR 334;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
06:05;Bergen;WIZZ AIR;W6 1757;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
07:20;Goteborg;RYANAIR;FR 6095;;"GDN"
08:05;Wrocław;RYANAIR;FR 4106;;"GDN"
08:30;Skelleftea;RYANAIR;FR 8588;;"GDN"
08:40;Helsinki;FINNAIR;AY 1176;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
09:00;Oslo torp;RYANAIR;FR 3277;;"GDN"
09:05;Oslo gardermoen;Norwegian;DY 1051;;"GDN"
09:15;Zadar;RYANAIR;FR 8677;;"GDN"
09:25;Zurych;;LX 1381;;"GDN"
09:35;Leeds;RYANAIR;FR 1504;;"GDN"
10:05;Paryż beauvais;WIZZ AIR;W6 1631;;"GDN"
10:10;Kopenhaga;SAS;SK 756;;"GDN"
10:55;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
12:50;Bergen;Norwegian;DY 1031;;"GDN"
12:50;Neapol;RYANAIR;FR 1896;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
13:15;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
13:15;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
13:20;Kopenhaga;RYANAIR;FR 6853;;"GDN"
13:35;Brindisi;RYANAIR;FR 3521;;"GDN"
13:35;Hamburg;RYANAIR;FR 6119;;"GDN"
14:00;Reykjavik keflavik;;FI 5812;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:25;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
14:25;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:35;Kraków;RYANAIR;FR 236;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
15:30;Hamburg;WIZZ AIR;W6 1675;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
