Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
23:10;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
23:35;Bratysława;RYANAIR;FR 6827;;"GDN"
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Oslo torp;RYANAIR;FR 3277;;"GDN"
05:45;Cork;RYANAIR;FR 8782;;"GDN"
05:50;Neapol;RYANAIR;FR 1896;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:05;Hamburg;WIZZ AIR;W6 1675;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:15;Haugesund;WIZZ AIR;W6 1749;;"GDN"
06:20;Londyn stansted;RYANAIR;FR 544;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
06:50;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
07:10;Trondheim;WIZZ AIR;W6 1761;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
09:40;Barcelona el prat;RYANAIR;FR 334;;"GDN"
09:40;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
10:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
10:05;Turku;WIZZ AIR;W6 1751;;"GDN"
10:10;Kopenhaga;SAS;SK 756;;"GDN"
10:20;Leeds;RYANAIR;FR 1504;;"GDN"
10:20;Brindisi;RYANAIR;FR 3521;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:40;Madera;WIZZ AIR;W6 1715;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
11:55;Helsinki;FINNAIR;AY 1176;;"GDN"
12:00;Newcastle;RYANAIR;FR 6103;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:10;Wrocław;RYANAIR;FR 4106;;"GDN"
12:25;Hamburg;RYANAIR;FR 6119;;"GDN"
12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
12:55;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
13:20;Sewilla-san pablo;;ENT680F;;"GDN"
13:50;Akureyri;;FI 1065;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:20;Londyn luton;WIZZ AIR;W6 1603;;"GDN"
14:30;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:35;Stavanger;WIZZ AIR;W6 1747;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
15:20;Kopenhaga;RYANAIR;FR 6844;;"GDN"
15:25;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
15:50;Dublin;RYANAIR;FR 1909;;"GDN"
