Czas;Kierunek;Rejs;;Lotnisko wylotowe
09:45;ALICANTE;FR 1001;;"WMI"
11:05;HELSINKI;FR 9318;;"WMI"
12:25;LIZBONA;FR 2263;;"WMI"
12:40;SZTOKHOLM ARLANDA;FR 1944;;"WMI"
13:20;BUDAPESZT;FR 1922;;"WMI"
13:40;PARYŻ BEAUVAIS;FR 1888;;"WMI"
14:55;RZYM CIAMPINO;FR 7026;;"WMI"
15:50;BRUKSELA CHARLEROI;FR 628;;"WMI"
16:05;LONDYN STANSTED;FR 1835;;"WMI"
19:00;SALONIKI;FR 4389;;"WMI"
20:15;ZEMUNIK-ZADAR;FR 5750;;"WMI"
20:50;MEDIOLAN BERGAMO;FR 1904;;"WMI"
22:30;EDYNBURG;FR 4525;;"WMI"
