Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-09;18:05;BRUKSELA CHARLEROI;;FR 628;0;;"WMI"
2025-04-09;18:15;KOPENHAGA;;FR 9750;0;;"WMI"
2025-04-09;19:35;MALAGA;;FR 4060;0;;"WMI"
2025-04-10;06:45;TENERYFA;;FR 6121;0;;"WMI"
2025-04-10;06:45;BARCELONA;;FR 6945;0;;"WMI"
2025-04-10;07:25;LONDYN STANSTED;;FR 2282;0;;"WMI"
2025-04-10;08:25;BARI;;FR 4237;0;;"WMI"
2025-04-10;08:30;SEWILLA-SAN PABLO;;ENT 501;0;;"WMI"
2025-04-10;09:00;SEWILLA-SAN PABLO;;RR 9459;0;;"WMI"
2025-04-10;13:00;EINDHOVEN;;FR 4022;0;;"WMI"
2025-04-10;14:10;NEAPOL;;FR 4553;0;;"WMI"
2025-04-10;16:40;RODOS;;FR 7492;0;;"WMI"
2025-04-11;06:05;DUBLIN;;FR 4544;0;;"WMI"
2025-04-11;06:40;RZYM CIAMPINO;;FR 3866;0;;"WMI"
2025-04-11;07:15;MALTA;;FR 9259;0;;"WMI"
2025-04-11;09:45;ALICANTE;;FR 1001;0;;"WMI"
2025-04-11;11:05;HELSINKI;;FR 9318;0;;"WMI"
2025-04-11;12:25;LIZBONA;;FR 2263;0;;"WMI"
2025-04-11;12:40;SZTOKHOLM ARLANDA;;FR 1944;0;;"WMI"
2025-04-11;13:20;BUDAPESZT;;FR 1922;0;;"WMI"
2025-04-11;13:40;PARYŻ BEAUVAIS;;FR 1888;0;;"WMI"
2025-04-11;14:55;RZYM CIAMPINO;;FR 7026;0;;"WMI"
2025-04-11;15:50;BRUKSELA CHARLEROI;;FR 628;0;;"WMI"
2025-04-11;16:05;LONDYN STANSTED;;FR 1835;0;;"WMI"
2025-04-11;19:00;SALONIKI;;FR 4389;0;;"WMI"
2025-04-11;20:15;ZEMUNIK-ZADAR;;FR 5750;0;;"WMI"
2025-04-11;20:50;MEDIOLAN BERGAMO;;FR 1904;0;;"WMI"
2025-04-11;22:30;EDYNBURG;;FR 4525;0;;"WMI"
2025-04-12;05:45;CATANIA;;FR 5440;0;;"WMI"
2025-04-12;06:25;BRUKSELA CHARLEROI;;FR 628;0;;"WMI"
2025-04-12;06:50;BUDAPESZT;;FR 1922;0;;"WMI"
2025-04-12;07:00;PAPHOS;;FR 4177;0;;"WMI"
2025-04-12;09:55;LONDYN STANSTED;;RK 1835;0;;"WMI"
2025-04-12;10:10;BOLONIA;;FR 1942;0;;"WMI"
2025-04-12;11:25;RZYM CIAMPINO;;FR 3866;0;;"WMI"
2025-04-12;14:10;DUBLIN;;FR 1924;0;;"WMI"
2025-04-12;14:40;CHANIA;;FR 7194;0;;"WMI"
2025-04-12;15:30;KORFU;;FR 1697;0;;"WMI"
2025-04-12;16:10;PORTO;;FR 4533;0;;"WMI"
2025-04-12;17:05;PALMA DE MALLORCA;;FR 4387;0;;"WMI"
2025-04-12;17:30;BARCELONA;;FR 6945;0;;"WMI"
2025-04-12;19:35;MALAGA;;FR 4060;0;;"WMI"
2025-04-12;21:10;ZEMUNIK-ZADAR;;FR 5750;0;;"WMI"
2025-04-13;05:50;BURGAS;;FR 3371;0;;"WMI"
2025-04-13;06:55;TIRANA;;FR 8414;0;;"WMI"
2025-04-13;08:40;MADRYT;;FR 1063;0;;"WMI"
2025-04-13;09:05;KOPENHAGA;;FR 9750;0;;"WMI"
