Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Leeds;WIZZ AIR;W6 1615;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
06:10;Dublin;RYANAIR;FR 1909;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:35;Londyn stansted;RYANAIR;FR 544;;"GDN"
06:40;Oslo torp;RYANAIR;FR 4942;;"GDN"
06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
06:55;Lublin;RYANAIR;FR 6111;;"GDN"
07:00;Ryga;RYANAIR;FR 6370;;"GDN"
07:10;Trondheim;WIZZ AIR;W6 1761;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
07:40;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
08:45;Alicante;RYANAIR;FR 1425;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
09:35;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
09:55;Bristol;RYANAIR;FR 8255;;"GDN"
10:05;Haugesund;WIZZ AIR;W6 1749;;"GDN"
10:10;Kopenhaga;SAS;SK 756;;"GDN"
10:15;Podgorica;RYANAIR;FR 1936;;"GDN"
10:35;Wrocław;RYANAIR;FR 4106;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:10;Alesund vigra;WIZZ AIR;W6 1765;;"GDN"
12:15;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
12:15;Edynburg;RYANAIR;FR 6123;;"GDN"
12:50;Piza;RYANAIR;FR 4442;;"GDN"
13:00;Teneryfa południe;WIZZ AIR;W6 1709;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:30;Newcastle;RYANAIR;FR 6103;;"GDN"
14:30;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:40;Kopenhaga;RYANAIR;FR 6844;;"GDN"
14:50;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
15:00;Bratysława;RYANAIR;FR 6827;;"GDN"
15:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
15:55;Växjö-smaland;RYANAIR;FR 7271;;"GDN"
