Czas;Kierunek;Rejs;;Lotnisko wylotowe
11:15;WENECJA TREVISO;FR 1460;;"WMI"
11:20;DUBLIN;FR 1924;;"WMI"
11:30;CHANIA;FR 7194;;"WMI"
12:45;RZYM CIAMPINO;FR 7026;;"WMI"
17:00;MADRYT;FR 1063;;"WMI"
17:05;MALTA;FR 9259;;"WMI"
18:05;BRUKSELA CHARLEROI;FR 628;;"WMI"
18:15;KOPENHAGA;FR 9750;;"WMI"
19:35;MALAGA;FR 4060;;"WMI"
